事件名称,类型,起始年代,结束年代,历时,备注
安史之乱,政治,755,763,8,唐朝由盛转衰的关键转折点，由安禄山和史思明发动的叛乱，严重削弱了唐朝中央权威 
甘露事变,政治,835,835,1,唐文宗与大臣策划诛杀宦官失败，引发大规模政治清洗，加剧唐朝内部矛盾 
牛李党争,政治,806,835,约29,唐朝中后期以牛僧孺、李德裕为首的两大官僚集团长期争斗，影响朝政稳定 
黄巢起义,政治,875,884,约9,黄巢领导的农民起义军一度攻占长安，建立大齐政权，沉重打击唐朝统治根基 
会昌灭佛,政治,842,845,3,唐武宗发起的全国性废佛运动，大量寺庙被毁，僧尼被迫还俗，佛教遭受重大挫折 
藩镇割据,政治,755,907,约52,安史之乱后各地藩镇势力崛起，中央政府无力有效管辖，造成地方割据局面日益严重 
永贞革新,政治,805,806,1,唐顺宗支持的改革运动，旨在打击宦官势力，强化中央集权，但很快失败并导致顺宗退位 
朱泚之乱,军事,783,784,1,泾原兵变后，朱泚篡位，短暂自立为秦帝，后被平定 
农民战争,军事,884,907,约23,黄巢起义后，农民战争此起彼伏，直至唐朝灭亡，其间包括庞勋起义、王仙芝起义等
怛罗斯战役,军事,751,751,1,唐朝与阿拉伯阿拔斯王朝在中亚的决战，唐朝军队败，西域扩张结束 
遣唐使往来,外交,630,894,264,日本向唐朝派遣学习团，吸收中国文化，推动日本社会变革 
黑水靺鞨归附,外交,696,698,2,唐朝廷册封粟末靺鞨首领大祚荣为渤海郡王，设立渤海国，稳固东北边疆 
征服突厥,军事,630,657,约27,唐太宗至唐高宗时期，唐朝逐步消灭东突厥汗国和西突厥汗国，巩固北部边疆 
平定高句丽,军事,645,668,约23,唐太宗至唐高宗时期，历经多次征战，最终收服高句丽，设置安东都护府 
鉴真东渡,文化,742,754,约12,唐朝高僧鉴真六次东渡成功抵达日本，传播佛法和中华文化 
平定安南,军事,679,682,3,唐朝军队平定今越南北部的反抗势力，加强了对当地的有效统治 
怀仁可汗归附,外交,630,630,1,东突厥颉利可汗被俘后，其弟突利可汗归附唐朝，受封为怀仁可汗，标志唐朝在北方草原确立霸权 
册封回纥,外交,744,744,1,唐朝册封回纥首领骨力裴罗为怀仁可汗，开启双方长期的友好与联盟关系 
唐蕃和亲,外交,641,821,180,唐朝先后数次与吐蕃联姻，加强双边关系，如文成公主、金城公主入藏
